scheme_name,amc_name,fund_manager,min_sip,min_lumpsum,expense_ratio,fund_size,fund_age,category,sub_category,rating,effective_return,sharpe,sortino,risk_level_score,risk_level,fund_score
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,100,100,0.27,10.0,10,Other,FoFs Domestic,3,6.9,0.24,0.32,3,Medium,0.2667041927798738
Aditya Birla SL Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Lovelish Solanki,1000,1000,0.36,4288.0,10,Hybrid,Arbitrage Mutual Funds,3,5.5,1.1,1.33,1,Low,0.3279282927287386
Aditya Birla SL Asset Allocator FoF-Dir Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,1000,1000,0.53,157.0,10,Other,FoFs Domestic,3,9.7,1.42,3.44,5,High,0.3521250290535417
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,Aditya Birla Sun Life Mutual Fund,Atul Penkar,500,1000,0.76,637.0,4,Solution Oriented,Childrens Funds,2,17.1,0.9,2.18,6,High,0.28850439675405704
Aditya Birla SL Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Mohit Sharma,100,100,0.61,6386.0,10,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,9.7,1.39,3.69,6,High,0.4103621044262216
Aditya Birla SL Banking&Financial Services-DirGrowth,Aditya Birla Sun Life Mutual Fund,Dhaval Gala,1000,1000,1.17,2384.0,9,Equity,Sectoral / Thematic Mutual Funds,2,9.2,0.97,2.07,6,High,0.27372613862798173
Aditya Birla SL Banking&PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,1000,1000,0.37,7994.0,10,Debt,Banking and PSU Mutual Funds,4,7.3,1.09,1.92,3,Medium,0.3832472433607502
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,1000,1000,1.29,15.0,10,Equity,Sectoral / Thematic Mutual Funds,0,9.3,1.06,1.42,6,High,0.17319404773971525
Aditya Birla SL Corporate Bond Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,100,100,0.31,12120.0,10,Debt,Corporate Bond Mutual Funds,4,7.4,1.35,2.28,2,Low,0.3991053773900749
Aditya Birla SL Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Sunaina da Cunha,100,100,0.69,1032.0,8,Debt,Credit Risk Funds,4,7.2,1.47,1.82,4,Medium,0.3670396616882416
Aditya Birla SL Digital India Fund,Aditya Birla Sun Life Mutual Fund,Kunal Sangoi,100,1000,0.88,3338.0,10,Equity,Sectoral / Thematic Mutual Funds,0,21.1,1.53,2.42,6,High,0.2947405395854737
Aditya Birla SL Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Dhaval Gala,1000,1000,1.73,850.0,10,Equity,Dividend Yield Funds,0,10.0,1.58,3.78,6,High,0.2250122974693338
Aditya Birla SL Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Mohit Sharma,1000,1000,0.64,1795.0,10,Debt,Dynamic Bond,5,6.0,1.02,1.78,3,Medium,0.39995165155719054
Aditya Birla SL Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Atul Penkar,1000,1000,1.14,4836.0,10,Equity,Large & Mid Cap Funds,1,7.9,1.16,2.21,6,High,0.24781084932503822
Aditya Birla SL Equity Hybrid ’95 Fund,Aditya Birla Sun Life Mutual Fund,Mahesh Patil,100,100,1.01,7046.0,10,Hybrid,Aggressive Hybrid Mutual Funds,2,7.7,1.33,2.54,6,High,0.3012743922175498
Aditya Birla SL Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Dhaval Shah,1000,1000,1.21,451.0,8,Hybrid,Equity Savings Mutual Funds,2,6.9,1.2,2.55,4,Medium,0.26434059210404937
Aditya Birla SL Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Anil Shah,100,100,0.86,15449.0,10,Equity,Flexi Cap Funds,3,10.4,1.27,3.4,6,High,0.3651006679126589
Aditya Birla SL Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,1000,1000,0.23,12364.0,10,Debt,Floater Mutual Funds,5,6.8,1.66,2.81,2,Low,0.4519316713378964
Aditya Birla SL Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Mahesh Patil,1000,1000,1.06,5633.0,10,Equity,Focused Funds,3,10.7,1.26,3.24,6,High,0.3564093577216094
Aditya Birla SL FP FoF – Aggressive – Direct Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,100,100,0.22,159.0,10,Other,FoFs Domestic,3,10.7,1.4,3.13,6,High,0.36017266681197563
Aditya Birla SL FP FoF – Conservative – Direct Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,100,100,0.34,14.0,10,Other,FoFs Domestic,4,8.2,1.57,3.82,4,Medium,0.385620538370209
Aditya Birla SL FP FoF – Moderate – Direct Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,100,100,0.36,28.0,10,Other,FoFs Domestic,3,9.4,1.44,3.09,5,High,0.34416987552780565
Aditya Birla SL Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Mahesh Patil,100,100,1.03,21131.0,10,Equity,Large Cap Mutual Funds,3,10.6,1.39,3.36,6,High,0.36859942565143083
Aditya Birla SL Global Emerging Oppt Fund,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,100,100,0.7,261.0,10,Other,FoFs Overseas,0,8.3,0.7,0.98,6,High,0.17943873518866965
Aditya Birla SL Gold Fund,Aditya Birla Sun Life Mutual Fund,Lovelish Solanki,100,100,0.15,278.0,10,Other,FoFs Domestic,2,13.2,0.45,1.07,5,High,0.28966960639902206
